,0,1,2,3,4,5,6,7,8,9,10,11,12,vintage,cz,scen_year,scenario,year
2_3_7_5,0.0,3.9,0.06,0.0,0.0,1291.83,7544.93,1.3,0.0,0.0,0.0,570.26,0.02,new,3a,historical,2020,RefBldgMidriseApartment
2_3_8_4,0.0,67.65,1.17,0.0,5.83,11.83,4211.23,36.27,0.0,0.0,0.0,8.59,3.52,new,3a,historical,2020,RefBldgMediumOffice
2_3_8_5,0.0,3.44,0.1,0.0,0.0,1445.0,7542.88,3.34,0.0,0.0,0.0,682.91,0.02,new,3a,historical,2020,RefBldgMidriseApartment
2_3_9_4,0.0,86.76,0.63,0.0,6.67,7.67,4218.19,29.31,0.0,0.0,0.0,6.02,4.08,new,3a,historical,2020,RefBldgMediumOffice
2_3_9_5,0.0,5.64,0.01,0.0,0.0,946.83,7546.12,0.1,0.0,0.0,0.0,334.88,0.02,new,3a,historical,2020,RefBldgMidriseApartment
2_3_10_4,0.0,68.7,1.14,0.0,6.17,12.17,4211.43,36.07,0.0,0.0,0.0,8.31,3.61,new,3a,historical,2020,RefBldgMediumOffice
2_3_10_5,0.0,3.63,0.14,0.0,0.0,1441.67,7531.57,14.65,0.0,0.0,0.0,689.0,0.02,new,3a,historical,2020,RefBldgMidriseApartment
2_3_11_4,0.0,54.09,2.01,0.0,5.67,19.0,4209.39,38.11,0.0,0.0,0.0,9.08,3.17,new,3a,historical,2020,RefBldgMediumOffice
2_3_11_5,0.0,2.47,2.94,0.0,0.0,1985.5,7433.25,112.98,0.0,0.0,0.0,1311.9,0.02,new,3a,historical,2020,RefBldgMidriseApartment
2_3_12_4,0.0,41.35,3.02,0.0,4.67,92.67,4201.51,45.99,0.0,0.0,0.0,23.87,2.78,new,3a,historical,2020,RefBldgMediumOffice
2_3_12_5,0.0,1.67,46.87,0.0,0.0,2597.67,7085.69,455.89,4.64,0.0,0.0,2534.95,0.02,new,3a,historical,2020,RefBldgMidriseApartment
2_4_0_4,0.0,130.95,0.2,0.0,7.67,4.17,4243.51,3.99,0.0,0.0,0.0,6.12,4.28,new,3b,historical,2020,RefBldgMediumOffice
2_4_0_5,0.0,20.83,0.0,0.0,0.0,144.83,7546.22,0.0,0.0,0.0,0.0,40.35,0.02,new,3b,historical,2020,RefBldgMidriseApartment
2_4_1_4,0.0,87.85,0.52,0.0,4.67,9.67,4242.93,4.57,0.0,0.0,0.0,7.73,2.53,new,3b,historical,2020,RefBldgMediumOffice
2_4_1_5,0.0,9.79,0.0,0.0,0.0,507.83,7546.22,0.0,0.0,0.0,0.0,142.38,0.02,new,3b,historical,2020,RefBldgMidriseApartment
2_4_2_4,0.0,84.63,0.6,0.0,4.67,13.33,4242.63,4.87,0.0,0.0,0.0,8.32,2.49,new,3b,historical,2020,RefBldgMediumOffice
2_4_2_5,0.0,9.11,0.0,0.0,0.0,565.83,7546.22,0.0,0.0,0.0,0.0,164.65,0.02,new,3b,historical,2020,RefBldgMidriseApartment
2_4_3_4,0.0,83.69,0.61,0.0,4.67,13.0,4242.75,4.75,0.0,0.0,0.0,8.14,2.49,new,3b,historical,2020,RefBldgMediumOffice
2_4_3_5,0.0,8.99,0.0,0.0,0.0,558.17,7546.22,0.0,0.0,0.0,0.0,158.29,0.02,new,3b,historical,2020,RefBldgMidriseApartment
2_4_4_4,0.0,83.44,0.62,0.0,4.67,12.0,4242.76,4.74,0.0,0.0,0.0,7.95,2.5,new,3b,historical,2020,RefBldgMediumOffice
2_4_4_5,0.0,8.78,0.0,0.0,0.0,539.0,7546.22,0.0,0.0,0.0,0.0,153.27,0.02,new,3b,historical,2020,RefBldgMidriseApartment
2_4_5_4,0.0,93.02,0.63,0.0,6.17,9.17,4242.89,4.61,0.0,0.0,0.0,7.43,3.1,new,3b,historical,2020,RefBldgMediumOffice
2_4_5_5,0.0,10.92,0.0,0.0,0.0,470.17,7546.22,0.0,0.0,0.0,0.0,136.82,0.02,new,3b,historical,2020,RefBldgMidriseApartment
2_4_6_4,0.0,85.29,0.74,0.0,5.17,12.5,4242.19,5.31,0.0,0.0,0.0,8.18,2.91,new,3b,historical,2020,RefBldgMediumOffice
2_4_6_5,0.0,9.33,0.0,0.0,0.0,610.17,7546.22,0.0,0.0,0.0,0.0,188.74,0.02,new,3b,historical,2020,RefBldgMidriseApartment
2_4_7_4,0.0,78.23,0.88,0.0,4.83,14.67,4241.82,5.68,0.0,0.0,0.0,8.73,2.71,new,3b,historical,2020,RefBldgMediumOffice
2_4_7_5,0.0,7.92,0.0,0.0,0.0,736.33,7546.22,0.0,0.0,0.0,0.0,241.04,0.02,new,3b,historical,2020,RefBldgMidriseApartment
2_4_8_4,0.0,72.98,0.99,0.0,4.5,18.67,4241.36,6.14,0.0,0.0,0.0,9.15,2.56,new,3b,historical,2020,RefBldgMediumOffice
2_4_8_5,0.0,6.81,0.0,0.0,0.0,828.0,7546.21,0.01,0.0,0.0,0.0,286.0,0.02,new,3b,historical,2020,RefBldgMidriseApartment
2_4_9_4,0.0,88.53,0.71,0.0,5.33,9.5,4242.58,4.92,0.0,0.0,0.0,7.8,2.91,new,3b,historical,2020,RefBldgMediumOffice
2_4_9_5,0.0,10.0,0.0,0.0,0.0,533.67,7546.22,0.0,0.0,0.0,0.0,157.16,0.02,new,3b,historical,2020,RefBldgMidriseApartment
2_4_10_4,0.0,74.55,0.94,0.0,4.5,17.5,4241.79,5.71,0.0,0.0,0.0,8.75,2.54,new,3b,historical,2020,RefBldgMediumOffice
2_4_10_5,0.0,7.23,0.0,0.0,0.0,754.67,7546.22,0.0,0.0,0.0,0.0,246.18,0.02,new,3b,historical,2020,RefBldgMidriseApartment
2_4_11_4,0.0,62.67,1.27,0.0,4.5,26.0,4239.06,8.44,0.0,0.0,0.0,11.22,2.24,new,3b,historical,2020,RefBldgMediumOffice
2_4_11_5,0.0,5.17,0.06,0.0,0.0,1004.67,7545.46,0.76,0.0,0.0,0.0,396.75,0.02,new,3b,historical,2020,RefBldgMidriseApartment
2_4_12_4,0.0,49.56,1.37,0.0,3.83,56.0,4235.57,11.93,0.0,0.0,0.0,17.11,1.88,new,3b,historical,2020,RefBldgMediumOffice
2_4_12_5,0.0,3.09,1.41,0.0,0.0,1327.0,7525.43,20.8,0.0,0.0,0.0,656.32,0.02,new,3b,historical,2020,RefBldgMidriseApartment
2_5_0_4,0.0,208.3,0.02,0.0,0.5,0.0,4247.5,0.0,0.0,0.0,0.0,0.05,0.34,new,3bc,historical,2020,RefBldgMediumOffice
2_5_0_5,0.0,21.63,0.0,0.0,0.0,0.0,7546.22,0.0,0.0,0.0,0.0,0.65,0.01,new,3bc,historical,2020,RefBldgMidriseApartment
2_5_1_4,0.0,128.31,0.22,0.0,0.17,0.0,4247.32,0.18,0.0,0.0,0.0,0.22,0.19,new,3bc,historical,2020,RefBldgMediumOffice
2_5_1_5,0.0,6.2,0.0,0.0,0.0,60.0,7546.22,0.0,0.0,0.0,0.0,19.21,0.0,new,3bc,historical,2020,RefBldgMidriseApartment
2_5_2_4,0.0,120.75,0.3,0.0,0.17,0.0,4247.21,0.29,0.0,0.0,0.0,0.25,0.17,new,3bc,historical,2020,RefBldgMediumOffice
2_5_2_5,0.0,4.47,0.0,0.0,0.0,107.0,7546.22,0.0,0.0,0.0,0.0,33.18,0.0,new,3bc,historical,2020,RefBldgMidriseApartment
2_5_3_4,0.0,117.32,0.3,0.0,0.17,0.0,4247.23,0.27,0.0,0.0,0.0,0.25,0.16,new,3bc,historical,2020,RefBldgMediumOffice
2_5_3_5,0.0,3.46,0.01,0.0,0.0,130.83,7546.22,0.0,0.0,0.0,0.0,37.27,0.0,new,3bc,historical,2020,RefBldgMidriseApartment
2_5_4_4,0.0,115.54,0.26,0.0,0.17,0.0,4247.23,0.27,0.0,0.0,0.0,0.24,0.15,new,3bc,historical,2020,RefBldgMediumOffice
2_5_4_5,0.0,3.32,0.01,0.0,0.0,110.33,7546.22,0.0,0.0,0.0,0.0,32.17,0.0,new,3bc,historical,2020,RefBldgMidriseApartment
2_5_5_4,0.0,127.8,0.12,0.0,0.17,0.0,4247.31,0.19,0.0,0.0,0.0,0.22,0.19,new,3bc,historical,2020,RefBldgMediumOffice
2_5_5_5,0.0,5.87,0.0,0.0,0.0,39.0,7546.22,0.0,0.0,0.0,0.0,12.75,0.0,new,3bc,historical,2020,RefBldgMidriseApartment
