,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2_3_5_5,0.0,29319.34,1080.91,1541.22,49480.61,51825.87,65522.38,8.92,14400.87,42541.23,9284.63,5116.24,17.92,64.47,29366.87,25762.59,3604.28
2_3_6_4,34124.85,6097.78,10212.56,3818.79,8456.42,178832.68,122533.85,10.27,33256.73,149659.87,29172.81,4083.92,16.31,87.72,71900.4,60635.51,11264.89
2_3_6_5,0.0,27369.44,1282.03,1509.68,47530.71,51995.45,64682.61,9.43,14092.23,42797.34,9198.11,4894.12,17.69,65.27,29083.91,25513.46,3570.44
2_3_7_4,33021.14,5651.72,10707.07,3809.19,8010.36,178213.87,122008.8,10.59,33030.41,149228.05,28985.82,4044.59,16.26,87.75,71579.02,60388.63,11190.39
2_3_7_5,0.0,26066.83,1406.44,1486.58,46228.11,52096.76,64368.41,9.75,13988.56,42948.56,9148.2,4840.36,17.56,65.4,28890.59,25340.5,3550.08
2_3_8_4,32502.75,5481.66,11099.04,3806.74,7840.31,178085.0,121904.09,10.8,32965.45,149152.85,28932.15,4033.3,16.25,87.77,71498.61,60329.36,11169.26
2_3_8_5,0.0,25477.21,1481.4,1480.4,45638.48,52165.54,64289.91,9.96,13957.81,43024.16,9141.39,4816.43,17.52,65.49,28813.74,25266.01,3547.73
2_3_9_4,34936.49,6675.76,9829.16,3832.07,9034.4,179274.19,124331.3,9.97,33882.8,149616.46,29657.73,4225.07,16.54,87.53,72177.65,60721.22,11456.43
2_3_9_5,0.0,28461.14,1180.63,1529.84,48622.41,51914.21,65835.0,9.13,14502.54,42589.31,9324.9,5177.64,17.96,64.3,29249.16,25626.86,3622.3
2_3_10_4,32670.08,5576.51,11093.4,3812.43,7935.16,178252.38,123176.25,10.77,33384.73,148974.85,29277.53,4107.19,16.42,87.7,71577.46,60269.56,11307.89
2_3_10_5,0.0,25692.6,1496.1,1490.16,45853.87,52189.99,65098.02,9.92,14215.85,42909.32,9280.67,4935.18,17.78,65.28,28862.19,25257.98,3604.2
2_3_11_4,30600.03,4845.17,12498.24,3800.06,7203.81,177574.8,121362.22,11.53,32674.78,148846.62,28728.18,3946.6,16.18,87.92,71185.52,60095.55,11089.97
2_3_11_5,0.0,23381.6,1854.12,1477.27,43542.87,52535.12,64025.76,10.7,13832.64,43380.76,9154.36,4678.28,17.43,66.18,28586.86,25034.02,3552.84
2_3_12_4,28136.38,4350.02,14080.77,3795.0,6708.66,176688.63,120600.33,12.29,32307.44,148238.02,28450.61,3856.83,16.1,88.06,70760.31,59781.72,10978.59
2_3_12_5,0.0,20987.35,2359.28,1491.8,41148.62,53054.82,63506.72,11.46,13629.23,43910.24,9144.58,4484.65,17.24,67.1,28367.15,24820.35,3546.8
2_4_0_4,30208.11,1400.7,2533.14,3804.67,3669.22,167444.45,110018.24,10.01,29548.92,140953.09,26491.36,3057.55,15.82,89.65,68237.86,58396.87,9841.0
